ticker,endeks_adi,olcum_tarihi
ASTOR,BIST SINAİ,2026-08-08
ASTOR,BIST TÜM,2026-08-08
ASTOR,BIST ANKARA,2026-08-08
ASUZU,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
ASUZU,BIST KURUMSAL YÖNETİM,2026-08-08
ASUZU,BIST SINAİ,2026-08-08
ASUZU,BIST TÜM,2026-08-08
ASUZU,BIST KOCAELİ,2026-08-08
ASUZU,BIST TÜM-100,2026-08-08
ASUZU,BIST 500,2026-08-08
ASUZU,BIST TEMETTÜ,2026-08-08
ASUZU,BIST YILDIZ,2026-08-08
ASUZU,"BIST METAL EŞYA, MAKİNA",2026-08-08
ATAGY,BIST TÜM-100,2026-08-08
ATAGY,BIST TÜM,2026-08-08
ATAGY,BIST GAYRİMENKUL YAT. ORT.,2026-08-08
ATAGY,BIST MALİ,2026-08-08
ATAKP,BIST SINAİ,2026-08-08
ATAKP,BIST KATILIM TUM,2026-08-08
ATAKP,BIST TÜM-100,2026-08-08
ATAKP,BIST YILDIZ,2026-08-08
ATAKP,BIST TÜM,2026-08-08
ATAKP,BIST 500,2026-08-08
ATAKP,"BIST GIDA, İÇECEK",2026-08-08
ATAKP,BIST KURUMSAL YÖNETİM,2026-08-08
ATATP,BIST TÜM-100,2026-08-08
ATATP,BIST İSTANBUL,2026-08-08
ATATP,BIST KATILIM TUM,2026-08-08
ATATP,BIST KATILIM TEMETTU,2026-08-08
ATATP,BIST KATILIM 100,2026-08-08
ATATP,BIST 500,2026-08-08
ATATP,BIST TÜM,2026-08-08
ATATP,BIST TEMETTÜ,2026-08-08
ATATP,BIST BİLİŞİM,2026-08-08
ATATP,BIST YILDIZ,2026-08-08
ATATP,BIST TEKNOLOJİ,2026-08-08
ATATR,BIST HALKA ARZ,2026-08-08
ATATR,BIST TURİZM,2026-08-08
ATATR,BIST TÜM,2026-08-08
ATATR,BIST HİZMETLER,2026-08-08
ATATR,BIST TÜM-100,2026-08-08
ATATR,BIST KONAKLAMA,2026-08-08
ATATR,BIST 500,2026-08-08
ATATR,BIST YILDIZ,2026-08-08
ATLAS,BIST MENKUL KIYM Y.O.,2026-08-08
AVGYO,BIST GAYRİMENKUL YAT. ORT.,2026-08-08
AVGYO,BIST TÜM,2026-08-08
AVGYO,BIST TÜM-100,2026-08-08
AVGYO,BIST MALİ,2026-08-08
AVGYO,BIST ANA,2026-08-08
AVGYO,BIST 500,2026-08-08
AVGYO,BIST GERİ ALIM,2026-08-08
AVHOL,BIST ANA,2026-08-08
AVHOL,BIST 500,2026-08-08
AVHOL,BIST TÜM,2026-08-08
AVHOL,BIST İSTANBUL,2026-08-08
AVHOL,BIST TÜM-100,2026-08-08
AVHOL,BIST MALİ,2026-08-08
AVHOL,BIST HOLDİNG VE YATIRIM,2026-08-08
AVOD,BIST TÜM,2026-08-08
AVOD,BIST İZMİR,2026-08-08
